name,type,growth_tier,crash_growth,recovery_rank,exp_growth_18m,P(>25% fall),recover_6m_if_falls_by18m,recover_12m_if_falls_by18m,recover_18m_if_falls_by18m,recover_by_1y_if_falls,recover_by_2y_if_falls,recover_by_3y_if_falls,gt3y_tail_unconditional,permanence_factor,true_permanent_loss,perm_vs_SP_multiple,reward_vs_SP,reward_vs_SCHD,growth_per_fall,delta_tail_30d
Cadence Design Systems,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.51,0.076,0.183,0.263,0.183,0.322,0.401,0.305,0.3,0.092,1.6,0.85,0.91,0.24,-0.0
Lattice Semiconductor,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.654,0.12,0.256,0.343,0.256,0.4,0.476,0.343,0.5,0.171,1.8,0.75,0.81,0.18,0.0
MACOM Technology,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.619,0.104,0.234,0.318,0.234,0.376,0.454,0.338,0.45,0.152,1.7,0.76,0.82,0.19,-0.001
Onto Innovation,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.634,0.132,0.279,0.369,0.279,0.431,0.507,0.313,0.45,0.141,1.6,0.83,0.89,0.19,-0.001
Ichor Holdings,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.7,0.151,0.3,0.392,0.3,0.45,0.526,0.332,0.5,0.166,1.7,0.78,0.84,0.17,-0.001
Impinj,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.676,0.135,0.28,0.369,0.28,0.426,0.504,0.336,0.5,0.168,1.7,0.77,0.83,0.18,-0.001
Semtech,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.711,0.164,0.32,0.413,0.32,0.472,0.544,0.324,0.5,0.162,1.7,0.8,0.86,0.17,-0.001
Rambus,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.595,0.123,0.265,0.357,0.265,0.421,0.499,0.298,0.45,0.134,1.5,0.87,0.94,0.2,-0.001
Ciena,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.575,0.116,0.255,0.347,0.255,0.411,0.491,0.293,0.45,0.132,1.5,0.88,0.95,0.21,-0.001
Fabrinet,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.553,0.111,0.251,0.345,0.251,0.409,0.491,0.281,0.4,0.113,1.4,0.92,0.99,0.22,-0.001
Western Digital,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.61,0.154,0.316,0.415,0.316,0.481,0.561,0.268,0.5,0.134,1.4,0.97,1.04,0.2,-0.004
Seagate Technology,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.572,0.137,0.297,0.397,0.297,0.464,0.546,0.26,0.5,0.13,1.3,1.0,1.07,0.21,-0.003
Constellation Energy,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.447,0.055,0.151,0.227,0.151,0.285,0.367,0.283,0.35,0.099,1.5,0.91,0.99,0.27,0.001
Vistra,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.521,0.092,0.222,0.315,0.222,0.38,0.465,0.278,0.45,0.125,1.4,0.93,1.0,0.23,-0.001
nVent Electric,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.493,0.089,0.214,0.308,0.214,0.378,0.464,0.265,0.42,0.111,1.4,0.98,1.05,0.24,-0.001
Penguin Solutions,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.654,0.156,0.314,0.412,0.314,0.473,0.551,0.294,0.5,0.147,1.5,0.88,0.95,0.18,
Corning,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.472,0.082,0.201,0.294,0.201,0.365,0.452,0.258,0.4,0.103,1.3,1.0,1.08,0.25,
Vertiv peer Modine,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.63,0.132,0.282,0.374,0.282,0.435,0.511,0.308,0.45,0.139,1.6,0.84,0.91,0.19,
Doximity,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.529,0.075,0.19,0.271,0.19,0.329,0.404,0.316,0.4,0.126,1.6,0.82,0.88,0.23,
CEVA,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.651,0.119,0.257,0.345,0.257,0.402,0.476,0.341,0.55,0.188,1.8,0.76,0.82,0.18,
Centrus Energy,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.725,0.175,0.331,0.422,0.331,0.482,0.555,0.322,0.5,0.161,1.7,0.8,0.86,0.17,
GDS Holdings,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.734,0.165,0.316,0.403,0.316,0.462,0.535,0.341,0.5,0.171,1.8,0.76,0.82,0.16,
Grid Dynamics,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.691,0.128,0.262,0.345,0.262,0.402,0.474,0.363,0.55,0.2,1.9,0.71,0.77,0.17,
The Trade Desk,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.667,0.144,0.293,0.383,0.293,0.443,0.515,0.323,0.45,0.145,1.7,0.8,0.86,0.18,
Intuit,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.479,0.076,0.188,0.274,0.188,0.338,0.415,0.28,0.32,0.09,1.4,0.92,1.0,0.25,
indie Semiconductor,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.798,0.164,0.308,0.388,0.308,0.441,0.507,0.394,0.65,0.256,2.0,0.66,0.71,0.15,
ASE Technology,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.496,0.113,0.259,0.356,0.259,0.424,0.513,0.242,0.45,0.109,1.2,1.07,1.15,0.24,
Synopsys,stock,Safe,secular,diversified / safe (buyback earn-back),0.11,0.524,0.085,0.202,0.283,0.202,0.345,0.424,0.302,0.32,0.097,1.6,0.79,0.85,0.21,0.0
Hewlett Packard Enterprise,stock,Safe,secular,diversified / safe (buyback earn-back),0.11,0.494,0.106,0.25,0.349,0.25,0.421,0.511,0.242,0.45,0.109,1.2,0.98,1.06,0.22,-0.003
Fortinet,stock,Safe,secular,diversified / safe (buyback earn-back),0.11,0.486,0.068,0.177,0.258,0.177,0.316,0.395,0.294,0.35,0.103,1.5,0.81,0.87,0.23,
SAP,stock,Safe,secular,diversified / safe (buyback earn-back),0.11,0.436,0.059,0.162,0.243,0.162,0.302,0.379,0.271,0.32,0.087,1.4,0.88,0.94,0.25,
Analog Devices,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.463,0.07,0.185,0.277,0.185,0.339,0.427,0.265,0.4,0.106,1.4,0.81,0.88,0.22,-0.001
Advanced Energy Industries,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.567,0.101,0.231,0.319,0.231,0.38,0.458,0.308,0.45,0.138,1.6,0.7,0.76,0.18,-0.001
Iron Mountain,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.435,0.045,0.129,0.204,0.129,0.258,0.336,0.289,0.4,0.115,1.5,0.75,0.81,0.23,0.0
Quanta Services,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.506,0.073,0.179,0.261,0.179,0.321,0.402,0.302,0.4,0.121,1.6,0.71,0.77,0.2,0.0
DoubleVerify,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.588,0.128,0.276,0.37,0.276,0.433,0.511,0.287,0.5,0.144,1.5,0.75,0.81,0.17,
Jabil,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.549,0.11,0.252,0.346,0.252,0.411,0.495,0.277,0.45,0.125,1.4,0.78,0.84,0.18,
Kulicke and Soffa,stock,Safe,secular,diversified / safe (buyback earn-back),0.1,0.591,0.117,0.26,0.353,0.26,0.418,0.499,0.296,0.5,0.148,1.5,0.73,0.78,0.17,
